Filename,Valid,ValidationTime,Width,Height,BandCount,DataType,CRS,Transform,Errors,Warnings,SR_B5_Min,SR_B5_Max,SR_B5_Mean,SR_B5_Std,SR_B5_NaN,SR_B5_Inf,SR_B5_ZeroPixels,SR_B5_Empty,SR_B6_Min,SR_B6_Max,SR_B6_Mean,SR_B6_Std,SR_B6_NaN,SR_B6_Inf,SR_B6_ZeroPixels,SR_B6_Empty,SR_B7_Min,SR_B7_Max,SR_B7_Mean,SR_B7_Std,SR_B7_NaN,SR_B7_Inf,SR_B7_ZeroPixels,SR_B7_Empty,ST_B10_Min,ST_B10_Max,ST_B10_Mean,ST_B10_Std,ST_B10_NaN,ST_B10_Inf,ST_B10_ZeroPixels,ST_B10_Empty,SR_B4_Min,SR_B4_Max,SR_B4_Mean,SR_B4_Std,SR_B4_NaN,SR_B4_Inf,SR_B4_ZeroPixels,SR_B4_Empty,SR_B3_Min,SR_B3_Max,SR_B3_Mean,SR_B3_Std,SR_B3_NaN,SR_B3_Inf,SR_B3_ZeroPixels,SR_B3_Empty,SR_B2_Min,SR_B2_Max,SR_B2_Mean,SR_B2_Std,SR_B2_NaN,SR_B2_Inf,SR_B2_ZeroPixels,SR_B2_Empty
| 0.00, 0.00, 1.00|",,,0.0,31956.0,14200.1171875,6330.98779296875,0,0,120718,False,0.0,50529.0,13084.02734375,5867.130859375,0,0,120718,False,0.0,56793.0,11194.2373046875,5101.9326171875,0,0,120718,False,0.0,51888.0,40681.03515625,17356.85546875,0,0,120718,False,0.0,26836.0,9552.8173828125,4384.45751953125,0,0,120718,False,0.0,25224.0,9267.197265625,4135.9716796875,0,0,120718,False,0.0,22010.0,8119.44189453125,3612.825927734375,0,0,120763,False
Landsat8_Ahmedabad_2024_PostMonsoon_002.tif,True,2026-07-24 20:17:34,1044,765,7,uint16,EPSG:32642,"| 30.00, 0.00, 853185.00|
| 0.00,-30.00, 2570625.00|
| 0.00, 0.00, 1.00|",,,0.0,63998.0,15981.81640625,1748.2611083984375,0,0,5,False,0.0,65454.0,14861.0908203125,1819.9034423828125,0,0,5,False,0.0,65454.0,12741.7724609375,1779.363037109375,0,0,5,False,0.0,50404.0,47439.90234375,608.9044189453125,0,0,5,False,0.0,42629.0,10974.0849609375,1418.1556396484375,0,0,5,False,0.0,46101.0,10644.5146484375,1049.66455078125,0,0,5,False,0.0,48053.0,9346.5625,869.6580810546875,0,0,18,False
Landsat8_Ahmedabad_2024_PostMonsoon_003.tif,True,2026-07-24 20:17:35,1044,765,7,uint16,EPSG:32642,"| 30.00, 0.00, 853185.00|
| 0.00,-30.00, 2570625.00|
| 0.00, 0.00, 1.00|",,,0.0,60879.0,16474.201171875,2666.61083984375,0,0,9732,False,0.0,64571.0,14507.7294921875,2424.710693359375,0,0,9732,False,0.0,65454.0,12178.5712890625,2292.83349609375,0,0,9732,False,0.0,51383.0,47189.3203125,5285.58349609375,0,0,9732,False,0.0,62765.0,10577.4033203125,1920.27197265625,0,0,9732,False,0.0,63765.0,10524.78515625,1607.7979736328125,0,0,9732,False,0.0,63525.0,9127.6357421875,1376.0235595703125,0,0,9742,False
Landsat8_Ahmedabad_2024_Summer_001.tif,True,2026-07-24 20:17:35,1038,756,7,uint16,EPSG:32643,"| 30.00, 0.00, 238605.00|
| 0.00,-30.00, 2567955.00|
| 0.00, 0.00, 1.00|",,,0.0,44851.0,18164.193359375,2401.424560546875,0,0,4635,False,0.0,41996.0,17807.599609375,2565.329833984375,0,0,4635,False,0.0,57296.0,15437.798828125,2411.288330078125,0,0,4635,False,0.0,53468.0,50157.578125,3952.940673828125,0,0,4635,False,0.0,42255.0,13121.986328125,2129.147216796875,0,0,4635,False,0.0,38412.0,12181.1748046875,1758.3455810546875,0,0,4635,False,0.0,33575.0,10460.5576171875,1506.861083984375,0,0,4635,False
Landsat8_Ahmedabad_2024_Summer_002.tif,True,2026-07-24 20:17:35,1038,756,7,uint16,EPSG:32643,"| 30.00, 0.00, 238605.00|
| 0.00,-30.00, 2567955.00|
| 0.00, 0.00, 1.00|",,,0.0,43853.0,17536.572265625,3090.819091796875,0,0,14451,False,0.0,38693.0,17316.8515625,3244.034423828125,0,0,14451,False,0.0,40301.0,15106.3701171875,2968.38623046875,0,0,14451,False,0.0,52927.0,48915.2109375,6747.96533203125,0,0,14451,False,0.0,52980.0,12706.607421875,2538.049072265625,0,0,14451,False,0.0,53034.0,11795.4775390625,2175.225341796875,0,0,14451,False,0.0,35113.0,10208.720703125,1856.6441650390625,0,0,14453,False
Landsat8_Ahmedabad_2024_Summer_003.tif,True,2026-07-24 20:17:35,1038,756,7,uint16,EPSG:32643,"| 30.00, 0.00, 238605.00|
| 0.00,-30.00, 2567955.00|
